line,type,full_match,label,id,title,URL,code
519,SUBLVLI,1.	,Lid,1.,(aansturingsartikel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.6_Artikel3.27_Lid1,C3_S3_2_P3_2_6_A3_27_SUB1
520,SUBLVLI,2.	,Lid,2.,(aansturingsartikel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.6_Artikel3.27_Lid2,C3_S3_2_P3_2_6_A3_27_SUB2
521,MAINLVL,Artikel 3.28. (stookplaats),Artikel,3.28,(stookplaats),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.6_Artikel3.28,C3_S3_2_P3_2_6_A3_28
522,SUBLVLI,1.	,Lid,1.,(stookplaats),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.6_Artikel3.28_Lid1,C3_S3_2_P3_2_6_A3_28_SUB1
525,SUBLVLI,2.	,Lid,2.,(stookplaats),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.6_Artikel3.28_Lid2,C3_S3_2_P3_2_6_A3_28_SUB2
526,MAINLVL,Artikel 3.29. (rookgasafvoer),Artikel,3.29,(rookgasafvoer),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.6_Artikel3.29,C3_S3_2_P3_2_6_A3_29
527,SUBLVLI,1.	,Lid,1.,(rookgasafvoer),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.6_Artikel3.29_Lid1,C3_S3_2_P3_2_6_A3_29_SUB1
530,SUBLVLI,2.	,Lid,2.,(rookgasafvoer),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.6_Artikel3.29_Lid2,C3_S3_2_P3_2_6_A3_29_SUB2
531,MAINLVL,§ 3.2.7. Beperking van het ontwikkelen van brand en rook,§,3.2.7,Beperking van het ontwikkelen van brand en rook,https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7,C3_S3_2_P3_2_7
532,MAINLVL,Artikel 3.30. (aansturingsartikel),Artikel,3.30,(aansturingsartikel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.30,C3_S3_2_P3_2_7_A3_30
533,SUBLVLI,1.	,Lid,1.,(aansturingsartikel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.30_Lid1,C3_S3_2_P3_2_7_A3_30_SUB1
534,SUBLVLI,2.	,Lid,2.,(aansturingsartikel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.30_Lid2,C3_S3_2_P3_2_7_A3_30_SUB2
535,CAPTION,Tabel 3.30,Tabel,3.30,,,
567,MAINLVL,Artikel 3.31. (binnenoppervlak),Artikel,3.31,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.31,C3_S3_2_P3_2_7_A3_31
568,SUBLVLI,1.	,Lid,1.,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.31_Lid1,C3_S3_2_P3_2_7_A3_31_SUB1
569,SUBLVLI,2.	,Lid,2.,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.31_Lid2,C3_S3_2_P3_2_7_A3_31_SUB2
570,SUBLVLI,3.	,Lid,3.,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.31_Lid3,C3_S3_2_P3_2_7_A3_31_SUB3
571,SUBLVLI,4.	,Lid,4.,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.31_Lid4,C3_S3_2_P3_2_7_A3_31_SUB4
572,SUBLVLI,5.	,Lid,5.,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.31_Lid5,C3_S3_2_P3_2_7_A3_31_SUB5
